Timestamp,Time-lap,State Of Charge_SoC,Charging Power_kW,Charging Voltage_V,Charging Current_A,Battery Temperature_C,Battery Voltage_BV,Battery Current_IB,Vehicle Speed_kmh,Regenerative Power_kW,Energy Supplied_kWh,Motor RPM,Time Elapsed_s
25-03-2025 00:00,10,20,33.4,461.93,72.31,21.82,640.98,52.11,211.28,0.6,0.09,1741.79,0
25-03-2025 00:00,10,20,27.9,418.42,66.67,31.02,764.76,36.48,16.54,0.37,0.17,1681.34,10
25-03-2025 00:00,10,20,24.74,552.21,44.81,38.03,685.08,36.12,99.46,3.88,0.24,2530.83,20
25-03-2025 00:00,10,20,26.92,330.87,81.37,36.61,312.47,86.17,171.65,4.37,0.31,1273.22,30
25-03-2025 00:00,10,20,16.5,741.01,22.27,33.49,393.68,41.92,246.78,0.87,0.36,2065.13,40
25-03-2025 00:00,10,20.01,20.52,395.53,51.87,43.93,310.52,66.08,46.28,4.09,0.42,2657.89,50
25-03-2025 00:01,10,20.01,39.02,359.39,108.58,32.12,405.54,96.22,2,1.18,0.53,207.81,60
25-03-2025 00:01,10,20.01,18.44,311.22,59.26,40.63,522.63,35.29,282.87,0.69,0.58,2684.04,70
25-03-2025 00:01,10,20.01,12.24,517.27,23.66,20.78,379.82,32.22,216.74,2.82,0.61,573.91,80
25-03-2025 00:01,10,20.01,37.8,406.76,92.93,24.03,407.16,92.84,16.71,2.87,0.72,928.67,90
25-03-2025 00:01,10,20.01,33.76,781.67,43.19,39.87,799.43,42.23,125.55,0.03,0.81,1937.23,100
25-03-2025 00:01,10,20.01,37.4,585.99,63.83,25.93,388.8,96.2,206.87,4.04,0.91,2647.77,110
25-03-2025 00:02,10,20.01,28.55,771.69,37,31.45,646.83,44.15,166.65,1.99,0.99,1032.85,120
25-03-2025 00:02,10,20.02,44.72,629.46,71.04,34.81,607.52,73.61,232.78,4.37,1.12,35.97,130
25-03-2025 00:02,10,20.02,11.49,549.11,20.93,25.72,508.63,22.59,148.36,2.72,1.15,2067.11,140
25-03-2025 00:02,10,20.02,33.87,329.7,102.72,43.2,447.12,75.74,151.25,3.85,1.24,2272.64,150
25-03-2025 00:02,10,20.02,20.1,555.25,36.2,35.66,538.03,37.36,180.98,0.74,1.3,2486.95,160
25-03-2025 00:02,10,20.02,14.94,480.1,31.12,43.48,633.71,23.57,19.36,0.74,1.34,582.46,170
25-03-2025 00:03,10,20.02,48.57,640.09,75.88,35.68,549.46,88.4,53.19,4.34,1.47,2343.93,180
25-03-2025 00:03,10,20.02,10.73,386.23,27.77,34.69,536.25,20,105.33,0.76,1.5,1376.55,190
25-03-2025 00:03,10,20.02,48.21,392.85,122.71,38.16,470.11,102.54,251.59,4.21,1.64,534.3,200
25-03-2025 00:03,10,20.02,23.78,310.43,76.6,44.64,324.5,73.28,289.91,3.9,1.7,2398.76,210
25-03-2025 00:03,10,20.03,32.1,304.53,105.41,26.83,611.22,52.52,200.15,3.96,1.79,1257.85,220
25-03-2025 00:03,10,20.03,12.14,510.33,23.8,26.55,367.36,33.06,209.83,4.28,1.83,1880.35,230
25-03-2025 00:04,10,20.03,15.89,648.24,24.51,44.38,451.15,35.21,91.99,4.29,1.87,1732.46,240
25-03-2025 00:04,10,20.03,44.35,790.72,56.08,22.99,338.21,131.12,41.22,1.12,1.99,2433.4,250
25-03-2025 00:04,10,20.03,46.66,778.66,59.92,36.29,547.82,85.17,154.29,3.73,2.12,338.09,260
25-03-2025 00:04,10,20.03,10.99,575.71,19.09,26.41,592.97,18.54,255.35,2.54,2.15,2842.22,270
25-03-2025 00:04,10,20.03,29.54,667.56,44.24,30.62,542.03,54.49,192.2,3.81,2.24,2807.92,280
25-03-2025 00:04,10,20.03,22.67,425.47,53.29,42.45,415.3,54.59,155.79,3.04,2.3,1322.67,290
25-03-2025 00:05,10,20.03,48.2,733.82,65.68,24.95,680.8,70.79,285.86,2.44,2.43,394.82,300
25-03-2025 00:05,10,20.04,32.95,522.69,63.04,41.7,339.94,96.93,139.28,0.1,2.53,2606.29,310
25-03-2025 00:05,10,20.04,23.82,324.72,73.35,42.42,699.29,34.06,85.87,1.94,2.59,2546.36,320
25-03-2025 00:05,10,20.04,47.55,384.06,123.82,25.48,771.06,61.67,168.32,1.28,2.72,135.14,330
25-03-2025 00:05,10,20.04,43.02,614.1,70.05,39.59,783.3,54.92,133.64,2.12,2.84,1762.35,340
25-03-2025 00:05,10,20.04,33.99,777.98,43.69,26.17,546.19,62.23,25.63,3.72,2.94,2245.94,350
25-03-2025 00:06,10,20.04,12.83,633.86,20.23,43.16,795.53,16.12,69.59,2.61,2.97,1573.38,360
25-03-2025 00:06,10,20.04,45.43,400.91,113.31,32.01,694.37,65.42,134.28,3.21,3.1,1085.83,370
25-03-2025 00:06,10,20.04,19.22,650.86,29.52,27.35,689.18,27.88,77.07,4.63,3.15,615.35,380
25-03-2025 00:06,10,20.05,33.46,631.87,52.96,32.82,461.82,72.46,245.74,1.19,3.25,1164.69,390
25-03-2025 00:06,10,20.05,36.35,580.51,62.62,44.74,602.35,60.35,17.87,0.79,3.35,1228.58,400
25-03-2025 00:06,10,20.05,20.82,316.06,65.86,29.46,422.17,49.31,298.88,2.31,3.4,443.58,410
25-03-2025 00:07,10,20.05,33.62,305.97,109.87,23.9,799.48,42.05,137.89,2.8,3.5,1734.95,420
25-03-2025 00:07,10,20.05,49.65,545.75,90.98,43.03,749.32,66.26,194.75,2.7,3.64,2786.67,430
25-03-2025 00:07,10,20.05,10.19,606.53,16.8,26.22,325.02,31.35,59.44,3.19,3.66,907.09,440
