Timestamp,State Of Charge_SoC,Charging Power_kW,Charging Voltage_V,Charging Current_A,Battery Temperature_C,Vehicle Speed_kmh,Regenerative Power_kW,Energy Supplied_kWh,Motor RPM,Time Elapsed_s,Time-lap,Battery Voltage_BV,Battery Current_IB
25-03-2025 00:00,20.0,33.4,461.93,72.31,21.82,211.28,0.6,0.09,1741.79,0,10,640.98,52.11
25-03-2025 00:00,20.0,27.9,418.42,66.67,31.02,16.54,0.37,0.17,1681.34,10,10,764.76,36.48
25-03-2025 00:00,20.0,24.74,552.21,44.81,38.03,99.46,3.88,0.24,2530.83,20,10,685.08,36.12
25-03-2025 00:00,20.0,26.92,330.87,81.37,36.61,171.65,4.37,0.31,1273.22,30,10,312.47,86.17
25-03-2025 00:00,20.0,16.5,741.01,22.27,33.49,246.78,0.87,0.36,2065.13,40,10,393.68,41.92
25-03-2025 00:00,20.01,20.52,395.53,51.87,43.93,46.28,4.09,0.42,2657.89,50,10,310.52,66.08
25-03-2025 00:01,20.01,39.02,359.39,108.58,32.12,2.0,1.18,0.53,207.81,60,10,405.54,96.22
25-03-2025 00:01,20.01,18.44,311.22,59.26,40.63,282.87,0.69,0.58,2684.04,70,10,522.63,35.29
25-03-2025 00:01,20.01,12.24,517.27,23.66,20.78,216.74,2.82,0.61,573.91,80,10,379.82,32.22
25-03-2025 00:01,20.01,37.8,406.76,92.93,24.03,16.71,2.87,0.72,928.67,90,10,407.16,92.84
25-03-2025 00:01,20.01,33.76,781.67,43.19,39.87,125.55,0.03,0.81,1937.23,100,10,799.43,42.23
25-03-2025 00:01,20.01,37.4,585.99,63.83,25.93,206.87,4.04,0.91,2647.77,110,10,388.8,96.2
25-03-2025 00:02,20.01,28.55,771.69,37.0,31.45,166.65,1.99,0.99,1032.85,120,10,646.83,44.15
25-03-2025 00:02,20.02,44.72,629.46,71.04,34.81,232.78,4.37,1.12,35.97,130,10,607.52,73.61
25-03-2025 00:02,20.02,11.49,549.11,20.93,25.72,148.36,2.72,1.15,2067.11,140,10,508.63,22.59
25-03-2025 00:02,20.02,33.87,329.7,102.72,43.2,151.25,3.85,1.24,2272.64,150,10,447.12,75.74
25-03-2025 00:02,20.02,20.1,555.25,36.2,35.66,180.98,0.74,1.3,2486.95,160,10,538.03,37.36
25-03-2025 00:02,20.02,14.94,480.1,31.12,43.48,19.36,0.74,1.34,582.46,170,10,633.71,23.57
25-03-2025 00:03,20.02,48.57,640.09,75.88,35.68,53.19,4.34,1.47,2343.93,180,10,549.46,88.4
25-03-2025 00:03,20.02,10.73,386.23,27.77,34.69,105.33,0.76,1.5,1376.55,190,10,536.25,20.0
25-03-2025 00:03,20.02,48.21,392.85,122.71,38.16,251.59,4.21,1.64,534.3,200,10,470.11,102.54
25-03-2025 00:03,20.02,23.78,310.43,76.6,44.64,289.91,3.9,1.7,2398.76,210,10,324.5,73.28
25-03-2025 00:03,20.03,32.1,304.53,105.41,26.83,200.15,3.96,1.79,1257.85,220,10,611.22,52.52
